tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
24,104.84,2516.16,Month-to-month,Bank transfer (automatic),1
15,89.85,1347.75,One year,Credit card (automatic),1
33,27.62,911.46,Two year,Electronic check,0
16,70.16,1122.56,One year,Mailed check,0
4,106.71,426.84,Month-to-month,Mailed check,1
9,109.15,982.35,Month-to-month,Credit card (automatic),1
16,74.74,1195.84,One year,Mailed check,1
4,103.39,413.56,Month-to-month,Electronic check,1
18,112.66,2027.88,Month-to-month,Mailed check,0
15,42.94,644.1,Month-to-month,Bank transfer (automatic),1
12,83.06,996.72,Month-to-month,Bank transfer (automatic),1
71,30.11,2137.81,Two year,Bank transfer (automatic),0
5,29.4,147.0,Month-to-month,Electronic check,1
35,25.66,898.1,Two year,Credit card (automatic),0
9,34.64,311.76,Month-to-month,Electronic check,1
9,92.74,834.66,Month-to-month,Credit card (automatic),0
68,106.32,7229.76,Two year,Bank transfer (automatic),1
72,59.44,4279.68,Two year,Mailed check,0
68,71.74,4878.32,Two year,Electronic check,0
23,74.05,1703.15,Month-to-month,Electronic check,1
25,93.23,2330.75,Two year,Mailed check,0
17,113.5,1929.5,One year,Electronic check,0
12,37.23,446.76,Month-to-month,Electronic check,1
5,45.56,227.8,Month-to-month,Electronic check,0
24,113.4,2721.6,Two year,Mailed check,0
19,35.43,673.17,Month-to-month,Mailed check,0
19,58.61,1113.59,One year,Electronic check,0
13,113.22,1471.86,Month-to-month,Mailed check,0
6,107.97,647.82,Month-to-month,Bank transfer (automatic),1
37,39.88,1475.56,Two year,Bank transfer (automatic),0
45,82.77,3724.65,Two year,Electronic check,0
72,102.37,7370.64,Two year,Credit card (automatic),0
13,74.32,966.16,Month-to-month,Electronic check,0
6,33.82,202.92,Month-to-month,Credit card (automatic),1
22,80.09,1761.98,Month-to-month,Credit card (automatic),1
7,53.63,375.41,Month-to-month,Mailed check,1
13,71.89,934.57,One year,Bank transfer (automatic),0
68,20.02,1361.36,Two year,Bank transfer (automatic),0
20,22.43,448.6,Month-to-month,Mailed check,0
14,18.64,260.96,One year,Credit card (automatic),0
20,100.95,2019.0,Month-to-month,Electronic check,1
19,63.35,1203.65,Month-to-month,Electronic check,1
3,53.94,161.82,Month-to-month,Mailed check,1
15,73.18,1097.7,One year,Mailed check,1
22,19.7,433.4,One year,Electronic check,0
18,55.6,1000.8,One year,Bank transfer (automatic),0
5,80.39,401.95,Month-to-month,Mailed check,1
52,38.82,2018.64,Two year,Electronic check,0
14,53.03,742.42,One year,Credit card (automatic),1
20,18.92,378.4,Month-to-month,Mailed check,1
19,20.29,385.51,Month-to-month,Electronic check,1
13,61.15,794.95,Month-to-month,Bank transfer (automatic),0
18,81.11,1459.98,Month-to-month,Bank transfer (automatic),1
21,64.64,1357.44,One year,Bank transfer (automatic),0
21,81.02,1701.42,Month-to-month,Bank transfer (automatic),1
16,37.74,603.84,Month-to-month,Electronic check,1
13,65.13,846.69,Month-to-month,Electronic check,1
10,39.04,390.4,Month-to-month,Credit card (automatic),0
12,47.88,574.56,Month-to-month,Mailed check,1
0,98.82,0.0,Month-to-month,Electronic check,1
12,51.32,615.84,One year,Credit card (automatic),1
34,58.64,1993.76,Two year,Credit card (automatic),0
17,79.39,1349.63,Month-to-month,Mailed check,1
58,103.02,5975.16,Two year,Electronic check,0
17,107.48,1827.16,Month-to-month,Electronic check,1
1,51.65,51.65,Month-to-month,Bank transfer (automatic),1
63,78.69,4957.47,Two year,Bank transfer (automatic),0
30,74.44,2233.2,Two year,Bank transfer (automatic),0
52,98.41,5117.32,Two year,Electronic check,0
21,53.18,1116.78,Month-to-month,Electronic check,1
24,78.84,1892.16,One year,Electronic check,0
11,57.52,632.72,Month-to-month,Credit card (automatic),1
14,117.83,1649.62,Month-to-month,Bank transfer (automatic),1
52,76.09,3956.68,Two year,Electronic check,0
0,84.67,0.0,Month-to-month,Bank transfer (automatic),1
1,21.19,21.19,Month-to-month,Credit card (automatic),0
22,30.53,671.66,Month-to-month,Mailed check,1
40,31.42,1256.8,Two year,Electronic check,0
21,52.98,1112.58,Month-to-month,Mailed check,1
47,34.81,1636.07,Two year,Mailed check,0
4,29.92,119.68,Month-to-month,Credit card (automatic),0
19,31.97,607.43,One year,Mailed check,0
14,30.74,430.36,One year,Electronic check,1
20,85.31,1706.2,Month-to-month,Credit card (automatic),1
15,109.88,1648.2,Month-to-month,Mailed check,1
11,78.92,868.12,Month-to-month,Credit card (automatic),0
7,72.51,507.57,Month-to-month,Electronic check,1
4,47.32,189.28,Month-to-month,Electronic check,1
19,23.75,451.25,Month-to-month,Electronic check,1
2,112.91,225.82,Month-to-month,Bank transfer (automatic),1
24,83.29,1998.96,One year,Mailed check,0
24,45.61,1094.64,Month-to-month,Electronic check,1
20,50.74,1014.8,One year,Bank transfer (automatic),0
21,86.2,1810.2,One year,Electronic check,1
44,28.34,1246.96,Two year,Electronic check,1
19,26.57,504.83,Month-to-month,Mailed check,1
20,22.81,456.2,Month-to-month,Electronic check,1
9,45.46,409.14,Month-to-month,Mailed check,1
24,32.4,777.6,Month-to-month,Electronic check,1
23,48.17,1107.91,Month-to-month,Bank transfer (automatic),0
61,48.63,2966.43,Two year,Electronic check,0
16,104.44,1671.04,One year,Electronic check,1
16,72.5,1160.0,Month-to-month,Electronic check,1
2,107.13,214.26,Month-to-month,Electronic check,1
16,111.68,1786.88,Month-to-month,Credit card (automatic),0
15,69.61,1044.15,Month-to-month,Electronic check,0
46,99.03,4555.38,Two year,Bank transfer (automatic),0
17,62.35,1059.95,Month-to-month,Electronic check,1
14,88.53,1239.42,Month-to-month,Electronic check,1
44,92.35,4063.4,Two year,Electronic check,0
30,70.21,2106.3,Two year,Mailed check,0
6,47.84,287.04,Month-to-month,Bank transfer (automatic),0
14,93.72,1312.08,Month-to-month,Bank transfer (automatic),0
13,118.67,1542.71,One year,Mailed check,1
62,76.71,4756.02,Two year,Electronic check,0
17,23.37,397.29,One year,Mailed check,0
12,29.44,353.28,One year,Electronic check,0
21,19.73,414.33,One year,Mailed check,0
45,34.7,1561.5,Two year,Bank transfer (automatic),0
16,47.63,762.08,Month-to-month,Mailed check,1
23,113.66,2614.18,One year,Mailed check,0
21,80.74,1695.54,Month-to-month,Bank transfer (automatic),1
11,102.04,1122.44,Month-to-month,Electronic check,1
11,94.93,1044.23,Month-to-month,Bank transfer (automatic),1
18,23.24,418.32,Month-to-month,Electronic check,1
23,72.96,1678.08,Month-to-month,Bank transfer (automatic),0
13,101.64,1321.32,One year,Bank transfer (automatic),1
14,109.67,1535.38,Month-to-month,Bank transfer (automatic),1
57,48.52,2765.64,Two year,Bank transfer (automatic),0
41,99.07,4061.87,Two year,Credit card (automatic),0
16,119.48,1911.68,Month-to-month,Credit card (automatic),0
6,83.1,498.6,Month-to-month,Electronic check,1
17,29.64,503.88,Month-to-month,Bank transfer (automatic),1
15,103.1,1546.5,Month-to-month,Credit card (automatic),1
24,108.53,2604.72,Two year,Electronic check,1
70,76.43,5350.1,Two year,Bank transfer (automatic),0
60,22.79,1367.4,Two year,Mailed check,0
18,77.69,1398.42,One year,Mailed check,1
22,49.93,1098.46,One year,Electronic check,0
19,116.04,2204.76,One year,Bank transfer (automatic),1
32,86.68,2773.76,Two year,Electronic check,1
15,98.3,1474.5,One year,Electronic check,1
4,104.99,419.96,Month-to-month,Credit card (automatic),0
10,53.66,536.6,Month-to-month,Bank transfer (automatic),1
22,72.17,1587.74,Month-to-month,Bank transfer (automatic),0
69,30.55,2107.95,Two year,Credit card (automatic),0
6,90.89,545.34,Month-to-month,Electronic check,1
22,99.1,2180.2,Month-to-month,Electronic check,1
4,111.33,445.32,Month-to-month,Bank transfer (automatic),1
21,58.9,1236.9,One year,Mailed check,1
1,89.84,89.84,Month-to-month,Credit card (automatic),1
24,103.84,2492.16,Month-to-month,Credit card (automatic),1
14,85.9,1202.6,Month-to-month,Credit card (automatic),1
12,42.42,509.04,Month-to-month,Mailed check,1
3,28.33,84.99,Month-to-month,Electronic check,1
1,85.32,85.32,Month-to-month,Bank transfer (automatic),0
35,64.61,2261.35,Two year,Mailed check,0
24,84.32,2023.68,Month-to-month,Mailed check,1
5,71.17,355.85,Month-to-month,Electronic check,1
22,87.66,1928.52,Month-to-month,Electronic check,1
68,65.11,4427.48,Two year,Bank transfer (automatic),0
20,106.96,2139.2,One year,Electronic check,0
1,117.48,117.48,Month-to-month,Credit card (automatic),0
17,18.12,308.04,Month-to-month,Bank transfer (automatic),1
15,60.81,912.15,Month-to-month,Electronic check,1
30,44.86,1345.8,Two year,Mailed check,0
24,77.06,1849.44,Month-to-month,Electronic check,1
60,60.0,3600.0,Two year,Credit card (automatic),0
22,95.13,2092.86,Month-to-month,Mailed check,0
68,111.83,7604.44,Two year,Bank transfer (automatic),0
8,113.73,909.84,Month-to-month,Mailed check,1
24,116.01,2784.24,One year,Credit card (automatic),1
24,51.52,1236.48,One year,Credit card (automatic),0
3,64.26,192.78,Month-to-month,Credit card (automatic),0
17,115.91,1970.47,Month-to-month,Credit card (automatic),0
16,97.12,1553.92,One year,Bank transfer (automatic),0
6,78.25,469.5,Month-to-month,Electronic check,1
37,73.93,2735.41,Two year,Mailed check,0
15,92.69,1390.35,One year,Credit card (automatic),1
0,102.6,0.0,Month-to-month,Mailed check,1
21,111.14,2333.94,One year,Bank transfer (automatic),0
20,107.08,2141.6,Month-to-month,Mailed check,0
4,53.57,214.28,Month-to-month,Electronic check,1
28,84.83,2375.24,Two year,Credit card (automatic),0
63,21.55,1357.65,Two year,Credit card (automatic),0
8,95.31,762.48,Month-to-month,Electronic check,1
22,78.34,1723.48,Month-to-month,Bank transfer (automatic),0
8,55.87,446.96,Month-to-month,Electronic check,1
27,81.38,2197.26,Two year,Bank transfer (automatic),0
4,32.71,130.84,Month-to-month,Credit card (automatic),1
70,93.01,6510.7,Two year,Electronic check,0
21,59.5,1249.5,One year,Credit card (automatic),1
9,98.93,890.37,Month-to-month,Credit card (automatic),1
22,83.86,1844.92,Month-to-month,Credit card (automatic),1
19,23.27,442.13,Month-to-month,Electronic check,1
22,56.91,1252.02,Month-to-month,Mailed check,1
14,88.83,1243.62,Month-to-month,Mailed check,1
26,21.24,552.24,Two year,Electronic check,0
50,91.59,4579.5,Two year,Mailed check,1
17,77.51,1317.67,Month-to-month,Mailed check,1
0,24.11,0.0,Month-to-month,Bank transfer (automatic),1
18,116.5,2097.0,Month-to-month,Credit card (automatic),1
2,37.33,74.66,Month-to-month,Bank transfer (automatic),0
13,29.13,378.69,One year,Electronic check,0
16,66.21,1059.36,Month-to-month,Electronic check,1
3,20.55,61.65,Month-to-month,Electronic check,1
24,46.49,1115.76,Month-to-month,Credit card (automatic),1
18,35.05,630.9,Month-to-month,Mailed check,0
24,64.39,1545.36,Two year,Mailed check,0
4,102.16,408.64,Month-to-month,Credit card (automatic),0
4,36.73,146.92,Month-to-month,Credit card (automatic),1
17,36.47,619.99,One year,Electronic check,0
23,111.21,2557.83,Month-to-month,Electronic check,1
23,101.98,2345.54,Month-to-month,Electronic check,1
19,20.31,385.89,Month-to-month,Electronic check,1
10,27.63,276.3,Month-to-month,Bank transfer (automatic),0
14,79.47,1112.58,Month-to-month,Electronic check,1
22,31.66,696.52,One year,Credit card (automatic),0
58,53.78,3119.24,Two year,Mailed check,0
21,29.26,614.46,Month-to-month,Electronic check,0
2,35.41,70.82,Month-to-month,Credit card (automatic),1
68,47.12,3204.16,Two year,Credit card (automatic),0
15,74.71,1120.65,Month-to-month,Mailed check,0
50,30.94,1547.0,Two year,Mailed check,0
56,71.6,4009.6,Two year,Credit card (automatic),0
7,62.71,438.97,Month-to-month,Mailed check,1
31,76.33,2366.23,Two year,Credit card (automatic),0
13,62.59,813.67,One year,Bank transfer (automatic),1
24,71.97,1727.28,Month-to-month,Bank transfer (automatic),0
49,80.01,3920.49,Two year,Credit card (automatic),0
10,117.92,1179.2,Month-to-month,Electronic check,1
14,114.34,1600.76,Month-to-month,Mailed check,1
16,59.84,957.44,Month-to-month,Electronic check,1
0,35.15,0.0,Month-to-month,Bank transfer (automatic),0
21,113.76,2388.96,Month-to-month,Bank transfer (automatic),1
0,107.62,0.0,Month-to-month,Credit card (automatic),0
17,70.94,1205.98,Month-to-month,Electronic check,1
12,64.25,771.0,Month-to-month,Bank transfer (automatic),0
20,76.32,1526.4,One year,Electronic check,0
31,59.43,1842.33,Two year,Electronic check,1
13,57.22,743.86,One year,Credit card (automatic),0
14,87.92,1230.88,One year,Credit card (automatic),1
21,72.26,1517.46,Month-to-month,Credit card (automatic),0
21,22.56,473.76,One year,Bank transfer (automatic),1
58,118.88,6895.04,Two year,Electronic check,0
59,61.38,3621.42,Two year,Credit card (automatic),0
0,111.98,0.0,Month-to-month,Electronic check,1
67,40.35,2703.45,Two year,Mailed check,0
39,115.22,4493.58,Two year,Bank transfer (automatic),1
10,27.43,274.3,Month-to-month,Credit card (automatic),0
17,69.13,1175.21,One year,Bank transfer (automatic),0
25,37.29,932.25,Two year,Electronic check,1
47,38.75,1821.25,Two year,Electronic check,0
14,50.81,711.34,Month-to-month,Mailed check,0
21,108.84,2285.64,One year,Electronic check,1
22,23.47,516.34,Month-to-month,Mailed check,1
23,19.64,451.72,Month-to-month,Credit card (automatic),1
23,69.71,1603.33,One year,Credit card (automatic),0
21,112.09,2353.89,One year,Mailed check,1
12,32.36,388.32,Month-to-month,Credit card (automatic),0
8,88.26,706.08,Month-to-month,Electronic check,0
11,82.99,912.89,Month-to-month,Credit card (automatic),1
7,53.13,371.91,Month-to-month,Credit card (automatic),1
19,27.66,525.54,Month-to-month,Electronic check,0
45,28.93,1301.85,Two year,Bank transfer (automatic),0
5,98.2,491.0,Month-to-month,Electronic check,0
21,106.36,2233.56,Month-to-month,Electronic check,1
62,35.64,2209.68,Two year,Electronic check,1
2,31.03,62.06,Month-to-month,Electronic check,1
2,91.79,183.58,Month-to-month,Electronic check,1
4,75.92,303.68,Month-to-month,Credit card (automatic),0
13,30.76,399.88,One year,Electronic check,0
11,19.18,210.98,Month-to-month,Mailed check,0
24,108.9,2613.6,Month-to-month,Electronic check,0
23,22.69,521.87,One year,Electronic check,0
19,60.73,1153.87,One year,Credit card (automatic),0
12,28.92,347.04,One year,Mailed check,1
23,93.84,2158.32,Month-to-month,Mailed check,1
15,104.23,1563.45,Month-to-month,Bank transfer (automatic),1
2,68.1,136.2,Month-to-month,Credit card (automatic),1
24,28.36,680.64,Month-to-month,Credit card (automatic),0
35,58.21,2037.35,Two year,Bank transfer (automatic),0
22,100.54,2211.88,Month-to-month,Credit card (automatic),0
33,105.3,3474.9,Two year,Credit card (automatic),0
14,108.16,1514.24,Month-to-month,Credit card (automatic),1
8,98.59,788.72,Month-to-month,Mailed check,1
5,76.97,384.85,Month-to-month,Electronic check,1
3,100.24,300.72,Month-to-month,Electronic check,1
14,30.81,431.34,One year,Credit card (automatic),0
1,49.34,49.34,Month-to-month,Electronic check,1
14,114.64,1604.96,One year,Mailed check,1
8,79.67,637.36,Month-to-month,Bank transfer (automatic),0
5,19.75,98.75,Month-to-month,Electronic check,1
22,101.47,2232.34,One year,Credit card (automatic),0
15,96.96,1454.4,Month-to-month,Bank transfer (automatic),1
7,18.26,127.82,Month-to-month,Electronic check,1
21,77.85,1634.85,Month-to-month,Electronic check,1
35,91.85,3214.75,Two year,Mailed check,0
17,20.37,346.29,Month-to-month,Credit card (automatic),1
11,104.37,1148.07,Month-to-month,Bank transfer (automatic),0
34,101.15,3439.1,Two year,Electronic check,1
2,99.82,199.64,Month-to-month,Bank transfer (automatic),1
49,23.2,1136.8,Two year,Electronic check,0
39,68.66,2677.74,Two year,Mailed check,1
18,23.39,421.02,One year,Credit card (automatic),1
6,28.71,172.26,Month-to-month,Credit card (automatic),1
27,26.18,706.86,Two year,Bank transfer (automatic),0
9,111.74,1005.66,Month-to-month,Electronic check,1
22,68.63,1509.86,Month-to-month,Electronic check,1
59,60.32,3558.88,Two year,Bank transfer (automatic),0
12,108.18,1298.16,Month-to-month,Bank transfer (automatic),1
69,80.92,5583.48,Two year,Mailed check,0
3,77.35,232.05,Month-to-month,Mailed check,1
57,51.52,2936.64,Two year,Mailed check,0
6,115.74,694.44,Month-to-month,Electronic check,1
3,20.31,60.93,Month-to-month,Electronic check,0
19,71.3,1354.7,One year,Bank transfer (automatic),1
24,23.74,569.76,Month-to-month,Mailed check,1
13,20.8,270.4,Month-to-month,Mailed check,0
4,31.24,124.96,Month-to-month,Bank transfer (automatic),1
22,118.76,2612.72,One year,Bank transfer (automatic),1
6,67.49,404.94,Month-to-month,Electronic check,0
17,106.06,1803.02,Month-to-month,Credit card (automatic),0
17,19.52,331.84,Month-to-month,Credit card (automatic),0
14,106.45,1490.3,Month-to-month,Credit card (automatic),1
21,106.55,2237.55,Month-to-month,Bank transfer (automatic),1
18,116.33,2093.94,One year,Electronic check,1
26,98.51,2561.26,Two year,Mailed check,0
17,104.39,1774.63,One year,Mailed check,1
24,63.13,1515.12,One year,Electronic check,0
3,43.08,129.24,Month-to-month,Bank transfer (automatic),0
71,113.84,8082.64,Two year,Mailed check,0
3,103.55,310.65,Month-to-month,Electronic check,1
24,66.99,1607.76,Two year,Mailed check,1
20,71.31,1426.2,Month-to-month,Electronic check,1
15,89.69,1345.35,One year,Electronic check,0
21,31.97,671.37,One year,Credit card (automatic),0
0,19.04,0.0,Month-to-month,Electronic check,0
24,25.61,614.64,One year,Bank transfer (automatic),1
30,55.57,1667.1,Two year,Electronic check,1
22,74.11,1630.42,Month-to-month,Mailed check,1
7,41.57,290.99,Month-to-month,Bank transfer (automatic),0
16,74.09,1185.44,One year,Electronic check,1
24,46.17,1108.08,Month-to-month,Credit card (automatic),0
15,69.57,1043.55,Month-to-month,Credit card (automatic),0
13,50.65,658.45,One year,Credit card (automatic),0
3,31.96,95.88,Month-to-month,Bank transfer (automatic),0
45,100.33,4514.85,Two year,Credit card (automatic),0
19,69.68,1323.92,One year,Bank transfer (automatic),0
20,22.65,453.0,Month-to-month,Mailed check,0
23,57.1,1313.3,One year,Electronic check,1
23,103.94,2390.62,One year,Mailed check,1
14,32.42,453.88,Month-to-month,Bank transfer (automatic),1
6,24.24,145.44,Month-to-month,Electronic check,1
8,94.98,759.84,Month-to-month,Mailed check,1
54,85.79,4632.66,Two year,Bank transfer (automatic),0
7,72.07,504.49,Month-to-month,Electronic check,1
28,103.73,2904.44,Two year,Electronic check,0
5,57.1,285.5,Month-to-month,Mailed check,1
24,58.23,1397.52,Month-to-month,Electronic check,1
35,74.61,2611.35,Two year,Credit card (automatic),0
51,43.57,2222.07,Two year,Mailed check,1
15,32.67,490.05,One year,Mailed check,0
45,39.24,1765.8,Two year,Bank transfer (automatic),0
68,32.11,2183.48,Two year,Mailed check,0
23,69.4,1596.2,Month-to-month,Mailed check,1
22,21.08,463.76,Month-to-month,Credit card (automatic),1
49,78.31,3837.19,Two year,Mailed check,0
11,97.3,1070.3,Month-to-month,Electronic check,1
16,114.25,1828.0,Month-to-month,Electronic check,1
13,93.7,1218.1,Month-to-month,Electronic check,0
13,115.06,1495.78,Month-to-month,Credit card (automatic),0
23,50.81,1168.63,Month-to-month,Bank transfer (automatic),1
19,68.98,1310.62,One year,Mailed check,1
2,77.84,155.68,Month-to-month,Mailed check,0
8,33.01,264.08,Month-to-month,Credit card (automatic),1
4,64.46,257.84,Month-to-month,Mailed check,1
20,33.02,660.4,Month-to-month,Electronic check,1
17,84.43,1435.31,One year,Credit card (automatic),0
13,61.14,794.82,One year,Credit card (automatic),1
17,55.94,950.98,Month-to-month,Bank transfer (automatic),1
59,41.73,2462.07,Two year,Mailed check,0
61,18.8,1146.8,Two year,Credit card (automatic),0
35,94.18,3296.3,Two year,Electronic check,0
24,27.76,666.24,Two year,Credit card (automatic),0
8,68.54,548.32,Month-to-month,Bank transfer (automatic),1
2,63.96,127.92,Month-to-month,Electronic check,0
24,119.77,2874.48,One year,Credit card (automatic),0
1,108.59,108.59,Month-to-month,Credit card (automatic),1
36,39.29,1414.44,Two year,Electronic check,0
8,56.43,451.44,Month-to-month,Electronic check,1
5,75.45,377.25,Month-to-month,Credit card (automatic),0
17,18.54,315.18,Month-to-month,Electronic check,1
24,112.82,2707.68,One year,Bank transfer (automatic),1
23,80.5,1851.5,Month-to-month,Electronic check,0
7,93.29,653.03,Month-to-month,Bank transfer (automatic),1
24,68.31,1639.44,Month-to-month,Electronic check,1
3,101.87,305.61,Month-to-month,Credit card (automatic),1
24,75.45,1810.8,One year,Electronic check,1
13,64.16,834.08,Month-to-month,Mailed check,1
34,74.4,2529.6,Two year,Mailed check,0
40,81.59,3263.6,Two year,Bank transfer (automatic),0
0,69.58,0.0,Month-to-month,Mailed check,1
23,68.51,1575.73,Month-to-month,Electronic check,1
5,22.55,112.75,Month-to-month,Credit card (automatic),1
14,78.69,1101.66,One year,Electronic check,1
24,102.18,2452.32,One year,Credit card (automatic),1
41,44.42,1821.22,Two year,Bank transfer (automatic),0
5,53.55,267.75,Month-to-month,Electronic check,1
5,42.96,214.8,Month-to-month,Electronic check,1
20,100.15,2003.0,Month-to-month,Mailed check,1
70,41.08,2875.6,Two year,Electronic check,0
1,41.06,41.06,Month-to-month,Bank transfer (automatic),1
17,47.05,799.85,Month-to-month,Bank transfer (automatic),0
15,37.66,564.9,One year,Bank transfer (automatic),1
34,78.39,2665.26,Two year,Mailed check,1
60,94.16,5649.6,Two year,Electronic check,0
24,45.49,1091.76,One year,Electronic check,1
14,97.57,1365.98,Month-to-month,Bank transfer (automatic),0
19,79.32,1507.08,Month-to-month,Credit card (automatic),1
15,58.95,884.25,Month-to-month,Electronic check,1
8,34.33,274.64,Month-to-month,Bank transfer (automatic),0
8,83.37,666.96,Month-to-month,Bank transfer (automatic),1
30,77.77,2333.1,Two year,Electronic check,1
3,67.12,201.36,Month-to-month,Bank transfer (automatic),1
8,66.29,530.32,Month-to-month,Credit card (automatic),1
49,43.69,2140.81,Two year,Bank transfer (automatic),0
63,61.42,3869.46,Two year,Bank transfer (automatic),0
21,78.5,1648.5,One year,Electronic check,0
44,107.21,4717.24,Two year,Credit card (automatic),0
2,54.09,108.18,Month-to-month,Bank transfer (automatic),1
3,45.63,136.89,Month-to-month,Electronic check,1
3,48.55,145.65,Month-to-month,Bank transfer (automatic),0
15,111.57,1673.55,Month-to-month,Credit card (automatic),1
4,56.18,224.72,Month-to-month,Mailed check,0
29,69.18,2006.22,Two year,Electronic check,1
67,50.78,3402.26,Two year,Bank transfer (automatic),0
71,112.62,7996.02,Two year,Bank transfer (automatic),1
12,62.01,744.12,One year,Mailed check,0
37,107.82,3989.34,Two year,Electronic check,0
18,54.14,974.52,One year,Credit card (automatic),0
17,65.66,1116.22,One year,Electronic check,0
1,108.11,108.11,Month-to-month,Mailed check,1
23,71.78,1650.94,Month-to-month,Credit card (automatic),1
24,50.71,1217.04,One year,Electronic check,0
35,19.83,694.05,Two year,Electronic check,0
18,97.45,1754.1,Month-to-month,Electronic check,1
64,107.24,6863.36,Two year,Credit card (automatic),0
5,74.66,373.3,Month-to-month,Bank transfer (automatic),1
30,72.39,2171.7,Two year,Electronic check,0
49,35.14,1721.86,Two year,Credit card (automatic),0
13,37.25,484.25,Month-to-month,Electronic check,1
29,104.81,3039.49,Two year,Bank transfer (automatic),1
2,47.32,94.64,Month-to-month,Credit card (automatic),1
21,89.62,1882.02,One year,Credit card (automatic),0
1,31.71,31.71,Month-to-month,Bank transfer (automatic),1
10,102.46,1024.6,Month-to-month,Credit card (automatic),1
14,24.81,347.34,One year,Mailed check,0
15,80.68,1210.2,One year,Electronic check,1
15,55.82,837.3,One year,Bank transfer (automatic),1
16,103.31,1652.96,One year,Electronic check,1
24,88.87,2132.88,Two year,Electronic check,0
14,67.56,945.84,Month-to-month,Mailed check,1
21,94.33,1980.93,Month-to-month,Mailed check,0
4,57.87,231.48,Month-to-month,Credit card (automatic),1
0,19.5,0.0,Month-to-month,Credit card (automatic),1
13,27.19,353.47,Month-to-month,Electronic check,0
22,29.36,645.92,One year,Credit card (automatic),0
31,19.27,597.37,Two year,Credit card (automatic),0
13,116.43,1513.59,One year,Electronic check,1
48,53.59,2572.32,Two year,Bank transfer (automatic),0
6,64.9,389.4,Month-to-month,Credit card (automatic),1
17,66.61,1132.37,One year,Mailed check,0
68,39.26,2669.68,Two year,Electronic check,0
1,101.52,101.52,Month-to-month,Bank transfer (automatic),0
45,28.21,1269.45,Two year,Mailed check,0
15,81.21,1218.15,Month-to-month,Electronic check,1
1,107.98,107.98,Month-to-month,Bank transfer (automatic),1
24,45.27,1086.48,Month-to-month,Electronic check,0
13,97.65,1269.45,Month-to-month,Electronic check,1
8,63.76,510.08,Month-to-month,Mailed check,0
9,96.82,871.38,Month-to-month,Mailed check,1
4,60.64,242.56,Month-to-month,Credit card (automatic),1
6,70.6,423.6,Month-to-month,Mailed check,0
0,78.75,0.0,Month-to-month,Bank transfer (automatic),1
44,67.13,2953.72,Two year,Bank transfer (automatic),0
8,41.91,335.28,Month-to-month,Mailed check,0
12,77.32,927.84,One year,Credit card (automatic),1
13,23.09,300.17,Month-to-month,Electronic check,1
13,47.95,623.35,One year,Mailed check,0
41,39.65,1625.65,Two year,Mailed check,1
24,64.04,1536.96,One year,Electronic check,0
40,109.4,4376.0,Two year,Credit card (automatic),0
24,41.85,1004.4,Month-to-month,Credit card (automatic),0
28,55.51,1554.28,Two year,Credit card (automatic),0
20,94.15,1883.0,One year,Mailed check,0
54,112.3,6064.2,Two year,Electronic check,1
57,49.42,2816.94,Two year,Electronic check,1
17,57.28,973.76,Month-to-month,Credit card (automatic),1
13,21.39,278.07,Month-to-month,Mailed check,0
8,111.31,890.48,Month-to-month,Electronic check,1
15,83.75,1256.25,Month-to-month,Electronic check,1
22,98.73,2172.06,Month-to-month,Mailed check,0
23,36.71,844.33,Month-to-month,Electronic check,1
65,46.68,3034.2,Two year,Credit card (automatic),0
16,84.0,1344.0,Month-to-month,Mailed check,1
21,78.98,1658.58,Month-to-month,Bank transfer (automatic),0
18,60.3,1085.4,Month-to-month,Bank transfer (automatic),1
68,81.03,5510.04,Two year,Bank transfer (automatic),0
12,93.67,1124.04,One year,Credit card (automatic),1
25,104.07,2601.75,Two year,Electronic check,0
13,88.84,1154.92,One year,Electronic check,1
24,89.42,2146.08,One year,Bank transfer (automatic),1
52,21.03,1093.56,Two year,Bank transfer (automatic),0
2,59.03,118.06,Month-to-month,Electronic check,1
24,66.41,1593.84,Two year,Bank transfer (automatic),0
20,103.61,2072.2,One year,Electronic check,1
34,68.03,2313.02,Two year,Credit card (automatic),0
24,38.82,931.68,Month-to-month,Electronic check,0
0,72.46,0.0,Month-to-month,Mailed check,0
12,77.91,934.92,Month-to-month,Electronic check,1
17,88.07,1497.19,Month-to-month,Bank transfer (automatic),0
39,115.68,4511.52,Two year,Electronic check,1
25,29.52,738.0,Two year,Bank transfer (automatic),0
19,20.73,393.87,One year,Credit card (automatic),0
17,62.8,1067.6,Month-to-month,Bank transfer (automatic),1
5,115.78,578.9,Month-to-month,Bank transfer (automatic),1
24,46.35,1112.4,One year,Mailed check,0
68,87.19,5928.92,Two year,Bank transfer (automatic),0
13,66.09,859.17,Month-to-month,Mailed check,0
20,45.65,913.0,Month-to-month,Bank transfer (automatic),1
16,77.15,1234.4,Month-to-month,Credit card (automatic),0
48,84.35,4048.8,Two year,Electronic check,1
22,32.48,714.56,One year,Credit card (automatic),0
6,113.83,682.98,Month-to-month,Electronic check,1
19,117.69,2236.11,Month-to-month,Electronic check,1
1,38.77,38.77,Month-to-month,Mailed check,1
2,64.33,128.66,Month-to-month,Mailed check,1
13,74.13,963.69,Month-to-month,Bank transfer (automatic),0
20,51.28,1025.6,One year,Credit card (automatic),0
